,pricebandupper,symbol,applicableMargin,bcEndDate,totalSellQuantity,adhocMargin,companyName,marketType,exDate,bcStartDate,css_status_desc,dayHigh,basePrice,securityVar,pricebandlower,sellQuantity5,sellQuantity4,sellQuantity3,cm_adj_high_dt,sellQuantity2,dayLow,sellQuantity1,quantityTraded,pChange,totalTradedValue,deliveryToTradedQuantity,totalBuyQuantity,averagePrice,indexVar,cm_ffm,purpose,buyPrice2,secDate,buyPrice1,high52,previousClose,ndEndDate,low52,buyPrice4,buyPrice3,recordDate,deliveryQuantity,buyPrice5,priceBand,extremeLossMargin,cm_adj_low_dt,varMargin,sellPrice1,sellPrice2,totalTradedVolume,sellPrice3,sellPrice4,sellPrice5,change,surv_indicator,ndStartDate,buyQuantity4,isExDateFlag,buyQuantity3,buyQuantity2,buyQuantity1,series,faceValue,buyQuantity5,closePrice,open,isinCode,lastPrice
0,3057.45,RELIANCE,15.73,,386648.0,,Reliance Industries Limited,N,11-JUN-21,,Listed,2814.0,2779.5,12.23,2501.55,44.0,14.0,12.0,29-APR-22,86.0,2761.75,5.0,11048210.0,0.44,55559.19,46.49,213225.0,2788.1,,958951.64,DIVIDEND - RS 7 PER SHARE,2791.8,03-Jun-2022 00:00:00,2791.85,2856.15,2779.5,,2016.25,2791.6,2791.75,14-JUN-21,5136072.0,2791.5,No Band,3.5,28-JUL-21,12.23,2791.9,2792.0,1992726.0,2792.4,2792.45,2792.55,12.3,,,10.0,False,23.0,105.0,7.0,EQ,10.0,1.0,0.0,2780.0,INE002A01018,2791.8
1,3784.15,TCS,13.04,,116064.0,,Tata Consultancy Services Limited,N,25-MAY-22,,Listed,3430.0,3440.15,9.54,3096.15,13.0,1.0,24.0,17-JAN-22,30.0,3380.0,29.0,1913622.0,-1.33,6892.73,58.36,102007.0,3399.35,,356308.16,DIVIDEND - RS 22 PER SHARE,3394.0,03-Jun-2022 00:00:00,3394.45,4043.0,3440.15,,3122.65,3393.15,3393.25,26-MAY-22,1116753.0,3393.1,No Band,3.5,03-JUN-21,9.54,3394.9,3395.05,202766.0,3395.3,3395.35,3395.45,-45.70,,,36.0,False,43.0,47.0,9.0,EQ,1.0,147.0,0.0,3418.0,INE467B01029,3394.45
2,2505.05,HDFC,16.49,,118104.0,,Housing Development Finance Corporation Limited,N,31-MAY-22,,Listed,2287.0,2277.35,12.99,2049.65,37.0,8.0,500.0,15-NOV-21,31.0,2256.05,245.0,2975522.0,-0.15,7834.92,67.26,127921.0,2270.26,,412024.09,DIVIDEND - RS 30 PER SHARE,2273.4,03-Jun-2022 00:00:00,2273.45,3021.1,2277.35,,2046.0,2273.3,2273.35,01-JUN-22,2001189.0,2273.25,No Band,3.5,08-MAR-22,12.99,2273.9,2273.95,345111.0,2274.0,2274.05,2274.1,-3.45,,,1.0,False,1.0,40.0,22.0,EQ,2.0,1.0,0.0,2257.0,INE001A01036,2273.9
3,523.05,WIPRO,15.7,,581228.0,,Wipro Limited,N,05-APR-22,,Listed,472.0,475.5,12.2,427.95,2532.0,995.0,1072.0,14-OCT-21,260.0,464.2,102.0,11634889.0,-1.81,7173.52,41.37,532566.0,467.16,,70381.56,INTERIM DIVIDEND - RS 5 PER SHARE,466.65,03-Jun-2022 00:00:00,466.7,739.85,475.5,,443.2,466.55,466.6,06-APR-22,4813606.0,466.5,No Band,3.5,25-MAY-22,12.2,466.9,466.95,1535560.0,467.0,467.05,467.1,-8.60,,,3923.0,False,1095.0,2658.0,425.0,EQ,2.0,5522.0,0.0,472.0,INE075A01022,466.9
4,299.95,ITC,13.96,,1652923.0,,ITC Limited,N,26-MAY-22,,Listed,272.9,272.7,10.46,245.45,10927.0,5074.0,2995.0,20-MAY-22,2705.0,269.7,8168.0,12487862.0,-0.62,4139.89,45.97,1135092.0,270.96,,238599.18,DIVIDEND - RS 6.25 PER SHARE,270.95,03-Jun-2022 00:00:00,271.0,282.35,272.7,,200.9,270.85,270.9,28-MAY-22,5740186.0,270.8,No Band,3.5,09-JUL-21,10.46,271.15,271.2,1527860.0,271.25,271.3,271.35,-1.70,,,5666.0,False,4032.0,4150.0,4192.0,EQ,1.0,4599.0,0.0,272.4,INE154A01025,271.0
5,166.75,ONGC,19.63,,1967823.0,,Oil & Natural Gas Corporation Limited,N,21-FEB-22,,Listed,155.3,151.6,16.13,136.45,43141.0,25044.0,32542.0,08-MAR-22,20100.0,152.8,7603.0,16747177.0,1.62,16206.28,47.15,1886201.0,154.23,,55307.94,INTERIM DIVIDEND - RS 1.75 PER SHARE,154.0,03-Jun-2022 00:00:00,154.05,194.95,151.6,,108.5,153.9,153.95,22-FEB-22,7895486.0,153.85,No Band,3.5,23-AUG-21,16.13,154.1,154.15,10507866.0,154.2,154.25,154.3,2.45,,,26284.0,False,11247.0,19652.0,1866.0,EQ,5.0,17652.0,0.0,153.1,INE213A01029,154.05
6,447.4,HINDALCO,21.46,23-AUG-21,713027.0,,Hindalco Industries Limited,N,12-AUG-21,17-AUG-21,Listed,406.2,406.75,17.96,366.1,1967.0,2660.0,637.0,29-MAR-22,1521.0,395.95,603.0,12229014.0,-0.77,10651.9,42.62,704828.0,401.42,,59412.44,ANNUAL GENERAL MEETING/DIVIDEND - RS 3 PER SHARE,403.4,03-Jun-2022 00:00:00,403.5,636.0,406.75,,359.8,403.3,403.35,,5211577.0,403.25,No Band,3.5,18-JUN-21,17.96,403.6,403.65,2653555.0,403.7,403.75,403.8,-3.15,,,5528.0,False,534.0,1402.0,100.0,EQ,1.0,4048.0,0.0,402.6,INE038A01020,403.6
7,170.5,NTPC,15.2,,1427994.0,,NTPC Limited,N,03-FEB-22,,Listed,157.85,155.0,11.7,139.5,26293.0,13962.0,9441.0,19-APR-22,6305.0,155.2,876.0,14063328.0,1.39,5915.26,56.2,1315778.0,156.39,,73646.18,INTERIM DIVIDEND - RS 4 PER SHARE,157.05,03-Jun-2022 00:00:00,157.1,166.35,155.0,,110.45,156.95,157.0,05-FEB-22,7903997.0,156.9,No Band,3.5,03-JUN-21,11.7,157.15,157.2,3782375.0,157.25,157.3,157.35,2.15,,,16240.0,False,22301.0,3367.0,2214.0,EQ,10.0,29832.0,0.0,155.8,INE733E01010,157.15
8,130.1,IOC,15.19,,1658008.0,,Indian Oil Corporation Limited,N,09-FEB-22,,Listed,118.6,118.3,11.69,106.5,33928.0,29702.0,17064.0,09-NOV-21,18665.0,116.7,4906.0,9043106.0,-0.89,2446.66,49.83,1905941.0,117.21,,30069.77,INTERIM DIVIDEND - RS  4 PER SHARE,117.15,03-Jun-2022 00:00:00,117.2,141.5,118.3,,101.9,117.05,117.1,10-FEB-22,4506492.0,117.0,No Band,3.5,10-AUG-21,11.69,117.25,117.3,2087420.0,117.35,117.4,117.45,-1.05,,,26559.0,False,19706.0,11038.0,1808.0,EQ,10.0,59469.0,0.0,118.3,INE242A01010,117.25
9,1473.35,GRASIM,16.84,27-AUG-21,109058.0,,Grasim Industries Limited,N,12-AUG-21,14-AUG-21,Listed,1339.9,1339.45,13.34,1205.55,18.0,6.0,4.0,18-JAN-22,214.0,1316.3,49.0,4810328.0,-0.15,7107.49,42.59,134510.0,1328.12,,50259.97,ANNUAL GENERAL MEETING/DIVIDEND - RS 5  PER SHARE/ SPECIAL DIVIDEND - RS 4 PER SHARE,1337.1,03-Jun-2022 00:00:00,1337.45,1929.8,1339.45,,1316.3,1336.95,1337.0,,2048563.0,1336.9,No Band,3.5,06-JUN-22,13.34,1337.55,1337.6,535154.0,1337.65,1337.7,1337.85,-2.00,,,9.0,False,1.0,1.0,36.0,EQ,2.0,355.0,0.0,1334.0,INE047A01021,1337.45
